Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Pathways in cancer,8/325,1.9517938047337523e-13,4.606233379171654e-11,0,0,248.2397476340694,7264.700805427628,HDAC1;HGF;ERBB2;STAT3;MDM2;PML;IGF1R;JAK1
Interleukin-27-mediated signaling events,4/26,4.68480811645484e-10,5.528073577416713e-08,0,0,605.0909090909091,12998.276079111229,STAT2;STAT3;JAK2;JAK1
"Immune system signaling by interferons, interleukins, prolactin, and growth hormones",6/280,1.4298395540601624e-09,1.1248071158606613e-07,0,0,107.93430656934306,2198.1580957470046,STAT2;HGF;STAT3;JAK2;PML;JAK1
Leptin signaling pathway,4/61,1.6217188052366822e-08,9.568140950896422e-07,0,0,233.1345029239766,4181.778845805203,ERBB2;STAT3;JAK2;JAK1
Thyroid-stimulating hormone signaling pathway,4/66,2.237032739234791e-08,1.0097890643139055e-06,0,0,214.27956989247312,3774.6482831583594,STAT3;JAK2;IGF1R;JAK1
Interleukin-22 soluble receptor signaling pathway,3/13,2.5672603330014545e-08,1.0097890643139055e-06,0,0,856.2857142857143,14966.025934716256,STAT3;JAK2;JAK1
Interleukin-6 signaling pathway,4/71,3.012233823650474e-08,1.015553117687874e-06,0,0,198.2388059701493,3433.099405160078,HDAC1;STAT3;JAK2;JAK1
Prolactin activation of MAPK signaling,4/75,3.7644908603965495e-08,1.1105248038169822e-06,0,0,187.03286384976525,3197.33954846858,ERBB2;STAT3;JAK2;JAK1
Immune system,7/998,7.932256198009344e-08,2.049574689362683e-06,0,0,44.73360242179616,731.3829135515251,STAT2;HGF;STAT3;MDM2;JAK2;PML;JAK1
STAT3 pathway,3/19,8.684638514248656e-08,2.049574689362683e-06,0,0,535.0178571428571,8698.922198848186,STAT3;JAK2;JAK1
Interferon-gamma signaling pathway,4/97,1.0674799114014609e-07,2.29022962809768e-06,0,0,142.63082437275986,2289.6233848181587,STAT3;JAK2;PML;JAK1
Signaling by interleukins,4/109,1.7090436968772706e-07,3.361119270525299e-06,0,0,126.25396825396824,1967.309745881739,HGF;STAT3;JAK2;JAK1
EGF/EGFR signaling pathway,4/141,4.809628233932541e-07,8.731325101600612e-06,0,0,96.60827250608271,1405.4065121653423,ERBB2;STAT3;JAK2;JAK1
Interleukin-7 signaling pathway,3/35,5.841496730619348e-07,9.847094488758329e-06,0,0,267.29464285714283,3836.509036449223,HGF;STAT3;JAK1
Integrated breast cancer pathway,4/152,6.498576601199045e-07,1.0224427185886497e-05,0,0,89.37837837837837,1273.3301832303364,HDAC1;MDM2;PML;JAK1
ERBB4 signaling events,3/38,7.523331246964077e-07,1.1096913589272012e-05,0,0,244.3469387755102,3445.3130035611566,ERBB2;MDM2;JAK2
Interferon signaling,4/168,9.697589892121915e-07,1.3409119161269044e-05,0,0,80.59349593495935,1115.9151351365863,STAT2;JAK2;PML;JAK1
Signaling events mediated by T cell protein tyrosine phosphatase (TC-PTP),3/42,1.0227294275544187e-06,1.3409119161269044e-05,0,0,219.24175824175825,3024.009375376739,HGF;STAT3;JAK1
ERBB2/ERBB3 signaling events,3/44,1.179262720025585e-06,1.464768431189674e-05,0,0,208.5261324041812,2846.511228799546,ERBB2;STAT3;JAK2
Interleukin-3 signaling pathway,3/45,1.2631648684453105e-06,1.4905345447654664e-05,0,0,203.55102040816325,2764.607606420819,STAT3;JAK2;JAK1
TGF-beta signaling pathway,4/185,1.4248791940462864e-06,1.601292808547255e-05,0,0,72.96132596685082,982.1633097084014,HDAC1;STAT3;PML;JAK1
HES/HEY pathway,3/48,1.538445017339253e-06,1.6503319276911988e-05,0,0,189.95238095238096,2542.4629238308867,HDAC1;STAT3;JAK2
Interleukin-5 signaling pathway,3/49,1.6383490128377577e-06,1.6810885523030903e-05,0,0,185.8136645962733,2475.376476226603,STAT3;JAK2;JAK1
Type II interferon signaling (interferon-gamma),3/50,1.7424677736230126e-06,1.7134266440626292e-05,0,0,181.8510638297872,2411.382965740782,STAT2;JAK2;JAK1
Jak-STAT signaling pathway,4/199,1.905635255471496e-06,1.798919681165092e-05,0,0,67.67521367521367,891.329607683739,STAT2;STAT3;JAK2;JAK1
SHP2 signaling,3/57,2.5964861444328336e-06,2.3568105003313413e-05,0,0,158.22222222222223,2034.9516166813053,JAK2;IGF1R;JAK1
Pancreatic cancer,3/70,4.841001830223267e-06,4.2313941923433e-05,0,0,127.43923240938166,1559.650883385183,ERBB2;STAT3;JAK1
Melanoma,3/71,5.053248922172518e-06,4.259166948688265e-05,0,0,125.55882352941175,1531.2500170396452,HGF;MDM2;IGF1R
Signaling by SCF-KIT,3/78,6.713763279208228e-06,5.463614254803937e-05,0,0,113.8,1355.511734447514,STAT3;MDM2;JAK2
p73 transcription factor network,3/79,6.976947973800037e-06,5.488532406056029e-05,0,0,112.296992481203,1333.2908485932933,MDM2;PML;JAK1
"cAMP receptor, G-protein-independent pathways inferred from amoeba model",2/9,8.084763760961904e-06,6.154852411570998e-05,0,0,713.6785714285714,8368.258989209586,STAT2;STAT3
"Androgen receptor signaling, proteolysis, and transcription regulation",3/88,9.658881770959371e-06,7.012867902042183e-05,0,0,100.36134453781511,1158.9359415058834,HDAC1;STAT3;MDM2
Prostate cancer,3/89,9.993193903059505e-06,7.012867902042183e-05,0,0,99.18936877076412,1142.027341805338,ERBB2;MDM2;IGF1R
Interferon-alpha signaling pathway,2/10,1.0103284265653993e-05,7.012867902042183e-05,0,0,624.4375,7182.686016966727,STAT2;JAK1
Interleukin-4 signaling pathway,3/104,1.596140787437272e-05,0.00010762549309577034,0,0,84.3946251768034,932.1670555715071,STAT3;JAK2;JAK1
Interferon gamma signaling regulation,2/14,2.04094503025842e-05,0.0001337952853169409,0,0,416.2083333333333,4494.8471043704,JAK2;JAK1
CXCR4 signaling pathway,3/116,2.214577668515017e-05,0.00014125414318095784,0,0,75.38685208596713,807.986009085321,STAT2;STAT3;JAK2
Notch signaling pathway,3/121,2.512885618342737e-05,0.0001560634226128647,0,0,72.17433414043583,764.4340070407663,HDAC1;STAT3;JAK2
Interleukin-10 anti-inflammatory signaling pathway,2/16,2.6899281719268e-05,0.0001587057621436812,0,0,356.7142857142857,3753.8510287252175,STAT3;JAK1
Interleukin-9 signaling pathway,2/16,2.6899281719268e-05,0.0001587057621436812,0,0,356.7142857142857,3753.8510287252175,STAT3;JAK1
SUMOylation by RanBP2 regulates transcriptional repression,2/17,3.047775949307404e-05,0.0001754329570820847,0,0,332.9166666666667,3461.838398540365,HDAC1;MDM2
